Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABarpaa	0	ABarpaaa	ABarpaap	0.493503661	0.381833643	-0.649585189
ABarpaaa	0	ABarpaaaa	ABarpaaap	0.815119836	0.138793773	-0.187570844
ABarpaaaa	0	ABarpaaaaa	ABarpaaaap	0.573942257	0.565719349	-0.43061244
ABarpaaaaa	0	ABarpaaaaal	ABarpaaaaar	-0.155124668	-0.681003273	0.593027797
ABarpaaaap	0	ABarpaaaapa	ABarpaaaapp	0.727545454	0.482519616	-0.267588802
ABarpaaap	0	ABarpaaapa	ABarpaaapp	0.816017722	0.08155579	-0.373371773
ABarpaaapa	0	ABarpaaapaa	ABarpaaapap	0.807421021	-0.428183227	-0.211913794
ABarpaap	0	ABarpaapa	ABarpaapp	0.859827462	0.183194672	0.150039811
ABarpaapa	0	ABarpaapaa	ABarpaapap	0.905653741	0.127966495	-0.104938825
ABarpaapp	0	ABarpaappa	ABarpaappp	0.888950804	0.180371769	-0.017944353
ABarpap	0	ABarpapa	ABarpapp	0.759807453	0.412257544	-0.27063862
ABarpapa	0	ABarpapaa	ABarpapap	0.871646404	0.201136982	-0.113429065
ABarpapaa	0	ABarpapaaa	ABarpapaap	0.883470507	0.05932598	-0.093858801
ABarpapaaa	0	ABarpapaaaa	ABarpapaaap	0.850039116	-0.154295852	-0.268001512
ABarpapaap	0	ABarpapaapa	ABarpapaapp	0.713750627	-0.125943902	-0.547542336
ABarpapap	0	ABarpapapa	ABarpapapp	0.892673671	0.08699983	-0.138968802
ABarpapp	0	ABarpappa	ABarpappp	0.824407806	0.26238133	0.053384794
ABarpappa	0	ABarpappaa	ABarpappap	0.906695055	0.027476578	0.22469079
ABarpappp	0	ABarpapppa	ABarpapppp	0.912478302	-0.059152823	0.110475031
ABarpp	0	ABarppa	ABarppp	0.809801035	0.097222807	0.481246412
ABarppa	0	ABarppaa	ABarppap	0.731821697	0.462782501	-0.001611854
ABarppaa	0	ABarppaaa	ABarppaap	0.89644929	0.134321226	0.115090657
ABarppaaa	0	ABarppaaaa	ABarppaaap	0.76019837	0.239309699	0.284599295
ABarppaap	0	ABarppaapa	ABarppaapp	0.793838585	0.439154657	0.174213095
ABarppap	0	ABarppapa	ABarppapp	0.876876395	0.212439427	0.094294947
ABarppapa	0	ABarppapaa	ABarppapap	0.799701507	0.102091957	0.391456304
ABarppapp	0	ABarppappa	ABarppappp	0.670153609	-0.185516644	0.51360947
ABarppp	0	ABarpppa	ABarpppp	0.524021675	0.608998475	-0.22049766
ABarpppa	0	ABarpppaa	ABarpppap	0.810214126	0.182491279	0.208773818
ABarpppaa	0	ABarpppaaa	ABarpppaap	0.837009969	-0.057123803	0.248618237
ABarpppap	0	ABarpppapa	ABarpppapp	0.833325832	-0.12016503	0.194983324
ABarpppp	0	ABarppppa	ABarppppp	0.800908981	0.354982284	0.344597549
ABarppppa	0	ABarppppaa	ABarppppap	0.868584158	0.158337169	0.273409769
ABarppppp	0	ABarpppppa	ABarpppppp	0.733020141	0.269831671	0.500698555
ABp	0	ABpl	ABpr	0.253705663	-0.141562035	0.869425686
ABpl	0	ABpla	ABplp	0.5386271	0.423223472	0.573284366
ABpla	0	ABplaa	ABplap	0.868770556	0.095087902	-0.216713698
ABplaa	0	ABplaaa	ABplaap	0.475076236	0.575714901	0.476505367
